customer_id,amount,days_overdue,previous_failures,payment_method,customer_age,payment_status
C001,7500,0,0,Card,32,Paid
C002,1200,10,1,Wallet,20,Failed
C003,500,0,0,UPI,53,Paid
C004,1500,7,2,Card,46,Failed
C005,6000,1,0,Card,45,Paid
C006,2500,1,0,NetBanking,24,Paid
C007,800,2,0,NetBanking,56,Paid
C008,2000,15,3,UPI,42,Failed
C009,800,5,0,Card,22,Paid
C010,500,7,1,UPI,32,Failed
C011,12000,0,0,Wallet,58,Paid
C012,12000,2,0,NetBanking,31,Paid
C013,7500,1,0,Card,52,Paid
C014,8000,1,1,Wallet,35,Failed
C015,15000,7,1,NetBanking,21,Failed
C016,1500,15,2,Wallet,35,Failed
C017,800,1,0,Card,59,Paid
C018,4000,2,1,Card,34,Paid
C019,1200,1,0,Wallet,55,Paid
C020,3000,2,0,Wallet,23,Paid
C021,10000,0,0,Card,58,Paid
C022,1200,10,2,UPI,42,Failed
C023,3000,5,1,NetBanking,53,Failed
C024,12000,25,3,NetBanking,59,Failed
C025,2500,0,1,Card,47,Paid
C026,500,25,3,Card,50,Failed
C027,15000,0,0,Card,27,Paid
C028,2500,10,1,NetBanking,49,Failed
C029,500,0,0,NetBanking,33,Paid
C030,500,1,0,UPI,49,Paid
C031,12000,0,0,Card,60,Paid
C032,4000,25,3,NetBanking,51,Failed
C033,12000,5,0,Card,37,Failed
C034,3000,30,4,Wallet,51,Failed
C035,4000,0,0,UPI,39,Paid
C036,500,5,0,Card,18,Paid
C037,800,7,1,Card,22,Failed
C038,15000,0,0,UPI,50,Paid
C039,1500,1,1,Card,52,Paid
C040,1200,7,2,Card,48,Failed
C041,10000,2,0,UPI,60,Paid
C042,3000,2,1,Wallet,21,Paid
C043,7500,7,1,UPI,43,Failed
C044,8000,2,0,Card,30,Paid
C045,1500,5,0,Wallet,29,Paid
C046,2000,3,0,Wallet,53,Paid
C047,800,0,0,UPI,33,Paid
C048,1200,2,1,Card,43,Paid
C049,15000,0,1,UPI,42,Failed
C050,2000,20,3,NetBanking,45,Failed
C051,8000,25,4,Card,30,Failed
C052,2000,1,0,UPI,38,Paid
C053,500,0,1,Card,21,Paid
C054,5000,0,0,UPI,56,Paid
C055,800,7,1,Wallet,25,Failed
C056,15000,5,0,UPI,44,Failed
C057,7500,5,0,NetBanking,31,Paid
C058,7500,7,1,NetBanking,43,Failed
C059,1200,7,1,Wallet,38,Failed
C060,15000,10,1,UPI,47,Failed
C061,6000,30,4,UPI,52,Failed
C062,1500,3,0,NetBanking,22,Paid
C063,15000,1,0,Card,46,Paid
C064,12000,5,0,UPI,60,Failed
C065,12000,5,0,Card,34,Failed
C066,800,20,2,NetBanking,36,Failed
C067,6000,1,0,Card,58,Paid
C068,12000,1,1,NetBanking,21,Failed
C069,800,7,1,UPI,18,Failed
C070,2500,10,1,Card,46,Failed
C071,5000,7,1,UPI,22,Failed
C072,15000,7,1,UPI,41,Failed
C073,6000,5,1,Card,20,Failed
C074,2000,2,0,NetBanking,31,Paid
C075,7500,1,0,NetBanking,53,Paid
C076,15000,15,2,Card,28,Failed
C077,10000,15,3,UPI,29,Failed
C078,8000,20,3,Card,35,Failed
C079,1200,10,1,Wallet,20,Failed
C080,12000,3,0,Wallet,40,Paid
C081,2000,15,2,Card,19,Failed
C082,7500,1,0,NetBanking,22,Paid
C083,10000,1,1,NetBanking,19,Failed
C084,800,15,2,Card,55,Failed
C085,2000,0,1,NetBanking,38,Paid
C086,3000,5,0,Wallet,54,Paid
C087,1500,1,1,UPI,51,Paid
C088,15000,15,2,NetBanking,45,Failed
C089,800,25,3,NetBanking,60,Failed
C090,12000,0,0,NetBanking,60,Paid
C091,3000,2,0,Card,30,Paid
C092,3000,7,2,Card,57,Failed
C093,6000,1,0,NetBanking,36,Paid
C094,1500,3,0,Wallet,46,Paid
C095,4000,7,2,Card,60,Failed
C096,800,1,0,UPI,33,Paid
C097,7500,2,0,Card,19,Paid
C098,500,1,1,UPI,47,Paid
C099,3000,20,2,Wallet,49,Failed
C100,3000,1,0,UPI,45,Paid
