customer_id,amount,days_overdue,previous_failures,risk_level,priority
C034,3000,30,4,High,Urgent
C061,6000,30,4,High,Urgent
C024,12000,25,3,High,Urgent
C026,500,25,3,High,Urgent
C032,4000,25,3,High,Urgent
C051,8000,25,4,High,Urgent
C089,800,25,3,High,Urgent
C050,2000,20,3,High,Urgent
C066,800,20,2,High,Urgent
C078,8000,20,3,High,Urgent
C099,3000,20,2,High,Urgent
C008,2000,15,3,High,Urgent
C016,1500,15,2,High,Urgent
C076,15000,15,2,High,Urgent
C077,10000,15,3,High,Urgent
C081,2000,15,2,High,Urgent
C084,800,15,2,High,Urgent
C088,15000,15,2,High,Urgent
C002,1200,10,1,High,Urgent
C022,1200,10,2,High,Urgent
C028,2500,10,1,High,Urgent
C060,15000,10,1,High,Urgent
C070,2500,10,1,High,Urgent
C079,1200,10,1,High,Urgent
C004,1500,7,2,High,Urgent
C040,1200,7,2,High,Urgent
C092,3000,7,2,High,Urgent
C095,4000,7,2,High,Urgent
C046,2000,3,0,Low,Routine
C062,1500,3,0,Low,Routine
C080,12000,3,0,Low,Routine
C094,1500,3,0,Low,Routine
C007,800,2,0,Low,Routine
C012,12000,2,0,Low,Routine
C018,4000,2,1,Low,Routine
C020,3000,2,0,Low,Routine
C041,10000,2,0,Low,Routine
C042,3000,2,1,Low,Routine
C044,8000,2,0,Low,Routine
C048,1200,2,1,Low,Routine
C074,2000,2,0,Low,Routine
C091,3000,2,0,Low,Routine
C097,7500,2,0,Low,Routine
C005,6000,1,0,Low,Routine
C006,2500,1,0,Low,Routine
C013,7500,1,0,Low,Routine
C014,8000,1,1,Low,Routine
C017,800,1,0,Low,Routine
C019,1200,1,0,Low,Routine
C030,500,1,0,Low,Routine
C039,1500,1,1,Low,Routine
C052,2000,1,0,Low,Routine
C063,15000,1,0,Low,Routine
C067,6000,1,0,Low,Routine
C068,12000,1,1,Low,Routine
C075,7500,1,0,Low,Routine
C082,7500,1,0,Low,Routine
C083,10000,1,1,Low,Routine
C087,1500,1,1,Low,Routine
C093,6000,1,0,Low,Routine
C096,800,1,0,Low,Routine
C098,500,1,1,Low,Routine
C100,3000,1,0,Low,Routine
C001,7500,0,0,Low,Routine
C003,500,0,0,Low,Routine
C011,12000,0,0,Low,Routine
C021,10000,0,0,Low,Routine
C025,2500,0,1,Low,Routine
C027,15000,0,0,Low,Routine
C029,500,0,0,Low,Routine
C031,12000,0,0,Low,Routine
C035,4000,0,0,Low,Routine
C038,15000,0,0,Low,Routine
C047,800,0,0,Low,Routine
C049,15000,0,1,Low,Routine
C053,500,0,1,Low,Routine
C054,5000,0,0,Low,Routine
C085,2000,0,1,Low,Routine
C090,12000,0,0,Low,Routine
C010,500,7,1,Medium,Follow-up
C015,15000,7,1,Medium,Follow-up
C037,800,7,1,Medium,Follow-up
C043,7500,7,1,Medium,Follow-up
C055,800,7,1,Medium,Follow-up
C058,7500,7,1,Medium,Follow-up
C059,1200,7,1,Medium,Follow-up
C069,800,7,1,Medium,Follow-up
C071,5000,7,1,Medium,Follow-up
C072,15000,7,1,Medium,Follow-up
C009,800,5,0,Medium,Follow-up
C023,3000,5,1,Medium,Follow-up
C033,12000,5,0,Medium,Follow-up
C036,500,5,0,Medium,Follow-up
C045,1500,5,0,Medium,Follow-up
C056,15000,5,0,Medium,Follow-up
C057,7500,5,0,Medium,Follow-up
C064,12000,5,0,Medium,Follow-up
C065,12000,5,0,Medium,Follow-up
C073,6000,5,1,Medium,Follow-up
C086,3000,5,0,Medium,Follow-up
